Label,Text
Pneumonia,"Caracteriza-se por sibilos, expectoração, respiração rápida, febre, dor torácica."
Bronquite,"Acometido por dor torácica, tosse, febre, expectoração, sibilos."
Asma,"Caracteriza-se por respiração rápida, febre, sibilos."
Sinusite,"Inclui falta de ar, tosse, febre."
Otite,"Inclui chiado no peito, febre, respiração rápida, sibilos, tosse, falta de ar."
Faringite,"Acometido por febre, chiado no peito, expectoração, falta de ar, sibilos."
Laringite,"Inclui febre, dor torácica, falta de ar, tosse."
Gripe,"Sinais e sintomas: chiado no peito, febre, respiração rápida."
Covid-19,"Acometido por expectoração, tosse, chiado no peito, falta de ar."
Resfriado Comum,"Sinais e sintomas: azia, fezes alteradas, perda de apetite, arrotos, dor abdominal, vômito."
Tuberculose,"Inclui falta de ar, respiração rápida, tosse."
Bronquiolite,"Acometido por febre, falta de ar, respiração rápida, chiado no peito."
Infecção Urinária,"Manifesta-se com poliúria, hematúria, urina turva, dor lombar, oligúria."
Pielonefrite,"Acometido por dor lombar, urina turva, alteração no jato urinário."
Cistite,"Sinais e sintomas: poliúria, hematúria, dor lombar, oligúria, urina turva, alteração no jato urinário."
Hepatite,"Acometido por falta de ar, dor torácica, chiado no peito, tosse, respiração rápida."
Gastrite,"Sinais e sintomas: diarreia, perda de apetite, náusea, dor abdominal, vômito."
Ulcera Péptica,"Manifesta-se com diarreia, arrotos, náusea, perda de apetite."
Refluxo Gastroesofágico,"Acometido por perda de apetite, arrotos, diarreia, náusea."
Colecistite,"Caracteriza-se por hematúria, dor lombar, oligúria."
Pancreatite,"Caracteriza-se por perda de apetite, vômito, náusea, fezes alteradas, dor abdominal, arrotos."
Diarreia Infecciosa,"Sinais e sintomas: azia, arrotos, dor abdominal, vômito, fezes alteradas."
Gastroenterite,"Inclui dor abdominal, fezes alteradas, vômito, náusea, perda de apetite."
Diabetes Mellitus Tipo 1,"Sinais e sintomas: tontura, edema de membros inferiores, síncope, falta de ar ao esforço, dor torácica, palpitações."
Diabetes Mellitus Tipo 2,"Acometido por dor torácica, síncope, edema de membros inferiores, tontura, falta de ar ao esforço."
Hipoglicemia,"Inclui edema de membros inferiores, tontura, falta de ar ao esforço."
Síndrome Metabólica,"Sinais e sintomas: linfadenopatia, intensa fadiga, suor noturno, calafrios, mal-estar geral."
Hipertensão Arterial,"Sinais e sintomas: síncope, edema de membros inferiores, palpitações, tontura."
Doença Arterial Coronariana,"Sinais e sintomas: falta de ar ao esforço, dor torácica, tontura, palpitações, edema de membros inferiores, síncope."
Insuficiência Cardíaca,"Sinais e sintomas: síncope, edema de membros inferiores, falta de ar ao esforço, tontura, dor torácica."
Arritmia,"Sinais e sintomas: edema de membros inferiores, dor torácica, tontura, síncope."
Acidente Vascular Cerebral,"Caracteriza-se por palpitações, tontura, edema de membros inferiores."
Encefalopatia,"Sinais e sintomas: dor de cabeça, tontura, perda de sensibilidade."
Epilepsia,"Manifesta-se com perda de sensibilidade, visão turva, tontura, crise convulsiva, confusão mental, dor de cabeça."
Enxaqueca,"Caracteriza-se por confusão mental, dor de cabeça, visão turva, tontura."
Doença De Parkinson,"Manifesta-se com dor de cabeça, visão turva, tontura, confusão mental, perda de sensibilidade, crise convulsiva."
Esclerose Múltipla,"Caracteriza-se por perda de sensibilidade, visão turva, confusão mental, crise convulsiva, tontura."
Neuropatia Periférica,"Acometido por crise convulsiva, tontura, confusão mental, perda de sensibilidade, visão turva, dor de cabeça."
Síndrome Do Túnel Do Carpo,"Acometido por confusão mental, crise convulsiva, tontura."
Miastenia Gravis,"Manifesta-se com falta de ar ao esforço, dor torácica, palpitações, edema de membros inferiores, tontura."
Anemia Ferropriva,"Sinais e sintomas: palidez, sangramento fácil, fadiga, equimoses."
Anemia Megaloblástica,"Sinais e sintomas: palidez, fadiga, sangramento fácil, equimoses, palpitações."
Leucemia Linfóide,"Sinais e sintomas: palidez, equimoses, fadiga, sangramento fácil, palpitações."
Linfoma,"Manifesta-se com sangramento fácil, fadiga, palpitações, equimoses."
Coagulação Intravascular,"Caracteriza-se por perda de apetite, fezes alteradas, arrotos, diarreia, náusea, azia."
Artrite Reumatoide,"Manifesta-se com perda de interesse, tristeza persistente, ideação suicida."
Osteoartrite,"Manifesta-se com vômito, dor abdominal, fezes alteradas, diarreia, perda de apetite, arrotos."
Osteoporose,"Manifesta-se com secreção vaginal, menstruação irregular, dor pélvica, infertilidade, sangramento vaginal."
Lupus Eritematoso Sistêmico,"Inclui lesões na pele, prurido, eritema."
Psoríase,"Caracteriza-se por prurido, eritema, descamação, secreção."
Dermatite Atópica,"Acometido por secreção, prurido, úlceras cutâneas."
Celulite,"Acometido por secreção, descamação, eritema, úlceras cutâneas."
Infecção De Pele,"Manifesta-se com febre, respiração rápida, expectoração."
Melanoma,"Acometido por eritema, secreção, prurido, descamação."
Carcinoma Basocelular,"Sinais e sintomas: secreção, eritema, lesões na pele."
Câncer De Pulmão,"Manifesta-se com chiado no peito, febre, expectoração, falta de ar, tosse."
Câncer De Mama,"Manifesta-se com arrotos, vômito, perda de apetite."
Câncer De Próstata,"Manifesta-se com tontura, visão turva, crise convulsiva, perda de sensibilidade, confusão mental, dor de cabeça."
Câncer Colorretal,"Caracteriza-se por crise convulsiva, tontura, dor de cabeça, visão turva, confusão mental."
Gravididez Ectópica,"Manifesta-se com menstruação irregular, sangramento vaginal, dor pélvica, infertilidade, secreção vaginal."
Transtorno Menstrual,"Sinais e sintomas: menstruação irregular, infertilidade, dor pélvica, secreção vaginal, sangramento vaginal."
Endometrite,"Sinais e sintomas: dor pélvica, secreção vaginal, infertilidade."
Síndrome Do Ovário Policístico,"Caracteriza-se por secreção vaginal, infertilidade, sangramento vaginal, menstruação irregular, dor pélvica."
Meningite,"Sinais e sintomas: crise convulsiva, visão turva, confusão mental, tontura."
Encefalite,"Acometido por perda de sensibilidade, visão turva, crise convulsiva, tontura, confusão mental."
Septocemia,"Inclui ansiedade, tristeza persistente, insônia, perda de interesse, ideação suicida."
Infecção Bacteriana Generalizada,"Acometido por dor pélvica, infertilidade, menstruação irregular, secreção vaginal."
Choque Séptico,"Acometido por chiado no peito, sibilos, respiração rápida, falta de ar, expectoração."
Dengue,"Sinais e sintomas: tristeza persistente, ansiedade, perda de interesse, ideação suicida, insônia."
Zika,"Sinais e sintomas: confusão mental, perda de sensibilidade, dor de cabeça, visão turva."
Chikungunya,"Acometido por perda de interesse, ideação suicida, ansiedade, tristeza persistente, insônia."
Malária,"Inclui eritema, úlceras cutâneas, secreção."
Hepatite A,"Acometido por falta de ar, chiado no peito, febre."
Hepatite B,"Sinais e sintomas: chiado no peito, febre, dor torácica, sibilos."
Hepatite C,"Sinais e sintomas: sibilos, dor torácica, respiração rápida, falta de ar."
Doença Renal Crônica,"Caracteriza-se por poliúria, oligúria, dor lombar, urina turva, hematúria."
Insuficiência Renal Aguda,"Sinais e sintomas: edema de membros inferiores, dor torácica, palpitações, falta de ar ao esforço, tontura."
Litíase Renal,"Sinais e sintomas: dor lombar, hematúria, poliúria, urina turva."
Pielonefrite Crônica,"Manifesta-se com dor lombar, alteração no jato urinário, urina turva, hematúria, poliúria."
Reação Alérgica,"Inclui suor noturno, mal-estar geral, calafrios, intensa fadiga."
Anafilaxia,"Inclui falta de ar, respiração rápida, chiado no peito, tosse."
Rinite Alérgica,"Manifesta-se com falta de ar ao esforço, edema de membros inferiores, tontura, palpitações, dor torácica."
Otite Média,"Sinais e sintomas: febre, respiração rápida, sibilos, dor torácica, expectoração, tosse."
Conjuntivite,"Sinais e sintomas: descamação, lesões na pele, secreção, eritema, úlceras cutâneas, prurido."
Distúrbio De Ansiedade,"Manifesta-se com insônia, tristeza persistente, perda de interesse."
Depressão Maior,"Inclui insônia, ansiedade, ideação suicida, perda de interesse, tristeza persistente."
Transtorno Bipolar,"Acometido por perda de interesse, insônia, ansiedade, tristeza persistente, ideação suicida."
Esquizofrenia,"Inclui insônia, perda de interesse, ideação suicida, tristeza persistente, ansiedade."
Transtorno Do Sono,"Manifesta-se com insônia, tristeza persistente, ansiedade, perda de interesse, ideação suicida."
Insônia,"Manifesta-se com ideação suicida, insônia, perda de interesse, ansiedade."
Apneia Do Sono,"Manifesta-se com urina turva, poliúria, alteração no jato urinário, hematúria."
Síndrome Das Pernas Inquietas,"Caracteriza-se por febre, mal-estar geral, calafrios."
Obesidade,"Caracteriza-se por falta de ar ao esforço, síncope, dor torácica."
Síndrome De Cushing,"Manifesta-se com dor torácica, palpitações, síncope, tontura, falta de ar ao esforço, edema de membros inferiores."
Hipotireoidismo,"Inclui palpitações, síncope, edema de membros inferiores, falta de ar ao esforço, dor torácica, tontura."
Hipertireoidismo,"Sinais e sintomas: tontura, falta de ar ao esforço, edema de membros inferiores, dor torácica, palpitações, síncope."
